timestamp,zone,old_cooling_setpoint,new_cooling_setpoint,old_heating_setpoint,new_heating_setpoint,reasoning
Day 04 14:15,All Thermal Zones,25.0,25.5,21.5,20.0,Closed-loop setpoint update (AI-Controlled)
Day 04 19:15,All Thermal Zones,25.5,25.0,20.0,21.5,Closed-loop setpoint update (AI-Controlled)
Day 04 23:15,All Thermal Zones,25.0,27.0,21.5,17.0,Closed-loop setpoint update (AI-Controlled)
Day 05 05:15,All Thermal Zones,27.0,25.0,17.0,21.5,Closed-loop setpoint update (AI-Controlled)
Day 05 06:15,All Thermal Zones,25.0,23.0,21.5,21.0,Closed-loop setpoint update (AI-Controlled)
Day 05 09:15,All Thermal Zones,23.0,24.5,21.0,20.5,Closed-loop setpoint update (AI-Controlled)
Day 05 14:15,All Thermal Zones,24.5,25.5,20.5,20.0,Closed-loop setpoint update (AI-Controlled)
Day 05 19:15,All Thermal Zones,25.5,25.0,20.0,21.5,Closed-loop setpoint update (AI-Controlled)
Day 05 23:15,All Thermal Zones,25.0,27.0,21.5,17.0,Closed-loop setpoint update (AI-Controlled)
Day 06 05:15,All Thermal Zones,27.0,25.0,17.0,21.5,Closed-loop setpoint update (AI-Controlled)
Day 06 06:15,All Thermal Zones,25.0,23.0,21.5,21.0,Closed-loop setpoint update (AI-Controlled)
Day 06 09:15,All Thermal Zones,23.0,24.5,21.0,20.5,Closed-loop setpoint update (AI-Controlled)
Day 06 14:15,All Thermal Zones,24.5,25.5,20.5,20.0,Closed-loop setpoint update (AI-Controlled)
Day 06 19:15,All Thermal Zones,25.5,24.5,20.0,20.5,Closed-loop setpoint update (AI-Controlled)
Day 06 19:60,All Thermal Zones,24.5,25.0,20.5,21.5,Closed-loop setpoint update (AI-Controlled)
Day 06 23:15,All Thermal Zones,25.0,27.0,21.5,17.0,Closed-loop setpoint update (AI-Controlled)
Day 07 05:15,All Thermal Zones,27.0,25.0,17.0,21.5,Closed-loop setpoint update (AI-Controlled)
Day 07 06:15,All Thermal Zones,25.0,23.0,21.5,21.0,Closed-loop setpoint update (AI-Controlled)
Day 07 09:15,All Thermal Zones,23.0,25.0,21.0,21.5,Closed-loop setpoint update (AI-Controlled)
Day 07 14:15,All Thermal Zones,25.0,25.5,21.5,20.0,Closed-loop setpoint update (AI-Controlled)
Day 07 18:15,All Thermal Zones,25.5,27.0,20.0,17.0,Closed-loop setpoint update (AI-Controlled)
Day 08 05:15,All Thermal Zones,27.0,25.0,17.0,21.5,Closed-loop setpoint update (AI-Controlled)
Day 08 06:15,All Thermal Zones,25.0,23.0,21.5,21.0,Closed-loop setpoint update (AI-Controlled)
Day 08 09:15,All Thermal Zones,23.0,25.0,21.0,21.5,Closed-loop setpoint update (AI-Controlled)
Day 08 14:15,All Thermal Zones,25.0,25.5,21.5,20.0,Closed-loop setpoint update (AI-Controlled)
Day 08 17:15,All Thermal Zones,25.5,27.0,20.0,17.0,Closed-loop setpoint update (AI-Controlled)
Day 09 05:15,All Thermal Zones,27.0,25.0,17.0,21.5,Closed-loop setpoint update (AI-Controlled)
Day 09 06:15,All Thermal Zones,25.0,23.0,21.5,21.0,Closed-loop setpoint update (AI-Controlled)
Day 09 09:15,All Thermal Zones,23.0,24.5,21.0,20.5,Closed-loop setpoint update (AI-Controlled)
Day 09 14:15,All Thermal Zones,24.5,25.5,20.5,20.0,Closed-loop setpoint update (AI-Controlled)
Day 09 19:15,All Thermal Zones,25.5,24.5,20.0,20.5,Closed-loop setpoint update (AI-Controlled)
Day 09 19:60,All Thermal Zones,24.5,25.0,20.5,21.5,Closed-loop setpoint update (AI-Controlled)
Day 09 23:15,All Thermal Zones,25.0,27.0,21.5,17.0,Closed-loop setpoint update (AI-Controlled)
Day 10 05:15,All Thermal Zones,27.0,25.0,17.0,21.5,Closed-loop setpoint update (AI-Controlled)
Day 10 06:15,All Thermal Zones,25.0,23.0,21.5,21.0,Closed-loop setpoint update (AI-Controlled)
Day 10 09:15,All Thermal Zones,23.0,24.5,21.0,20.5,Closed-loop setpoint update (AI-Controlled)
Day 10 14:15,All Thermal Zones,24.5,25.5,20.5,20.0,Closed-loop setpoint update (AI-Controlled)
Day 10 19:15,All Thermal Zones,25.5,24.5,20.0,20.5,Closed-loop setpoint update (AI-Controlled)
Day 10 23:15,All Thermal Zones,24.5,27.0,20.5,17.0,Closed-loop setpoint update (AI-Controlled)
Day 11 05:15,All Thermal Zones,27.0,24.5,17.0,20.5,Closed-loop setpoint update (AI-Controlled)
Day 11 06:15,All Thermal Zones,24.5,23.0,20.5,21.0,Closed-loop setpoint update (AI-Controlled)
Day 11 09:15,All Thermal Zones,23.0,24.5,21.0,20.5,Closed-loop setpoint update (AI-Controlled)
Day 11 14:15,All Thermal Zones,24.5,25.5,20.5,20.0,Closed-loop setpoint update (AI-Controlled)
Day 11 19:15,All Thermal Zones,25.5,24.5,20.0,20.5,Closed-loop setpoint update (AI-Controlled)
Day 11 23:15,All Thermal Zones,24.5,27.0,20.5,17.0,Closed-loop setpoint update (AI-Controlled)
Day 12 05:15,All Thermal Zones,27.0,24.5,17.0,20.5,Closed-loop setpoint update (AI-Controlled)
Day 12 06:15,All Thermal Zones,24.5,23.0,20.5,21.0,Closed-loop setpoint update (AI-Controlled)
Day 12 09:15,All Thermal Zones,23.0,24.5,21.0,20.5,Closed-loop setpoint update (AI-Controlled)
Day 12 10:60,All Thermal Zones,24.5,23.5,20.5,20.0,Closed-loop setpoint update (AI-Controlled)
